Feature 							scenarios	steps 	
FingerPrint							3			7
Password							3			8
HomeState							2			2
RegisterInhabitant					4			7
DefineTheHomeState					1			3
DefinePoliciesForHomeState			1			4	
DefineRightsforInhabitants			1			4		
SecondsToClose						2			2			
AttepmtsToBlock						1			1	
RequestAccessToHome					4			15					
GuestRequestAccessToHome			2			6	
ConfigureAccessToSpecificEnv		2			6	
IntrusionDetection					2			4		
CallThePoliceDepartment				1			1					
LockBedrooms						1			1
TurnOnExternalAndInternalLights		1			1	
PresenceDetection					1			3			
FireDetection						1			3				
CallTheFireGuardDepartment			1			1			
UnlockAllDoorsAndWindows			1			1				
FireControlSystem					1			1		
